Qa[l/s]		Ha[m]	
13.218197	21.052351
12.599852	21.243922
12.482002	21.474062
12.932588	21.595462
14.826062	21.542819
21.942977	20.632843
36.027501	17.503148
36.857031	17.323364
35.393594	17.484063
33.215298	17.771885
31.024802	18.114552
31.004697	17.847037
33.805054	17.039050
34.163979	16.639084
28.433021	17.749252
26.554974	18.032134
25.493024	18.293662
25.454771	18.311391
27.357267	18.139529
29.655577	17.715594
27.092988	18.226182
21.549451	19.257637
17.991846	19.959472
14.759284	20.632200
